ชื่อเพลง,ชื่อนักร้อง,ชื่อวง,นาที,ลิ้ง url,ประเภทเพลง,ธีมงาน,ภาษา
Oblivion,Astor Piazzolla,-,3:36,https://www.youtube.com/embed/dF-IMQzd_Jo?si=M3PIgPuH2-yx76ws,Tango,Luxury,ETC.
Historia de un Amor,Luis Miguel,-,4:02,https://www.youtube.com/embed/kqObd2CcEKc?si=CzwPv6V_8uRTT6oj,Bolero,Luxury,Spanish
Sabor a Mí,Eydie Gormé & Trio Los Panchos,-,3:00,https://www.youtube.com/embed/aQCo3rczB-w?si=-znadQFX7C2DyG0u,Bolero,Luxury,Spanish
Cuando calienta el sol,Luis Miguel,-,4:39,https://www.youtube.com/embed/gTkJ-nP6pXY?si=PqurTnsbtyhSRVHw,Bolero,Luxury,Spanish
The Look of Love,Diana Krall,-,3:50,https://www.youtube.com/embed/Yr8xDSPjII8?si=cgreFC07pJY2dZkA,Jazz,Luxury,English
I've Got a Crush on You,Linda Ronstadt,-,3:30,https://www.youtube.com/embed/FZQJ3rc4GRM?si=x81lcpZpiH0LNdA0,Jazz,Luxury,English
Fever,Peggy Lee,-,4:16,https://www.youtube.com/embed/REryc1TpeY8?si=yQIYl586zsrvqjq3,Jazz,Luxury,English
Ain't That a Kick in the Head,Dean Martin,-,2:25,https://www.youtube.com/embed/1ERI1GoZ4NA?si=KqID9H1G-XGFtHiN,Swing,Luxury,English
Beyond the Sea,Bobby Darin,-,2:53,https://www.youtube.com/embed/Rc7_lCfbQP0?si=203-7kWpu4ICjx1Q,Swing,Luxury,English
You Make Me Feel So Young,Frank Sinatra,-,2:58,https://www.youtube.com/embed/8XuL5xSVL7s?si=EqF5T0egSGmDrj_E,Swing,Luxury,English
It's Only a Paper Moon,Nat King Cole,-,2:59,https://www.youtube.com/embed/IIQFJGru-xI?si=-Nz4V1SnMmpN0_k7,Jazz,Luxury,English
Let’s Face the Music and Dance,Nat King Cole,-,2:27,https://www.youtube.com/embed/KsefOgWryjE?si=6yN_w6cYKU_BgCW0,Swing,Luxury,English
Pennies from Heaven,Billie Holiday,-,3:15,https://www.youtube.com/embed/JxVXNWdHDq8?si=U7-kWIiOjmDYi2L-,Jazz,Luxury,English
Chega de Saudade,João Gilberto,-,3:20,https://www.youtube.com/embed/yUuJrpP0Mak?si=DbkDIcEFF4yNLpO_,Bossa Nova,Luxury,ETC.
Manhã de Carnaval,Luiz Bonfá,-,2:28,https://www.youtube.com/embed/FNK-OaWhwGU?si=vaD4ugpZ6u0Lpalz,Bossa Nova,Luxury,ETC.
Felicidade,Antônio Carlos Jobim,-,3:52,https://www.youtube.com/embed/sTi1AMyPWQE?si=zLHnSLQtRMeLHowE,Bossa Nova,Luxury,ETC.
C'est Magnifique,Cole Porter,-,3:44,https://www.youtube.com/embed/FcStChI4uw4?si=OltOI3fvfwG2z-zZ,Jazz,Luxury,French
Sous le ciel de Paris,Édith Piaf,-,3:25,https://www.youtube.com/embed/SC06NyI6KKU?si=fDlLRgB_IT8R0o_-,Chanson,Luxury,French
Padam Padam,Édith Piaf,-,3:18,https://www.youtube.com/embed/xXqLj7X1WDU?si=in-U7VBXjGCeI3WS,Chanson,Luxury,French
Hymne à l'amour,Édith Piaf,-,3:25,https://www.youtube.com/embed/sgBldNsK-xw?si=sPk96uBgeJTeOIqD,Chanson,Luxury,French
Milord,Édith Piaf,-,4:31,https://www.youtube.com/embed/nZcdI1u_9o8?si=ARoVnGZuBAxHti3X,Chanson,Luxury,French
I Say a Little Prayer,Aretha Franklin,-,3:37,https://www.youtube.com/embed/-8y0onSG3kg?si=xVHh7PJPbqkpPh0J,Soul,Luxury,English
Walk On By,Dionne Warwick,-,2:59,https://www.youtube.com/embed/vsGsCvJWEo8?si=MCv_6B0Pi-DCWMGq,Soul,Luxury,English
Let's Stay Together,Al Green,-,3:20,https://www.youtube.com/embed/XXx6RDzR6eM?si=32TRj-jGIfGGTupg,Soul,Luxury,English
Corcovado (Quiet Nights of Quiet Stars),Antônio Carlos Jobim,-,2:45,https://www.youtube.com/embed/uU1mz6WburU?si=ylPoEGX4vAnqnWqH,Bossa Nova,Luxury,ETC.
Desafinado,Stan Getz & Charlie Byrd,-,4:16,https://www.youtube.com/embed/tCMhuN3053o?si=i2l5T-idVyPBJpNI,Bossa Nova,Luxury,ETC.
Wave,Antônio Carlos Jobim,-,2:57,https://www.youtube.com/embed/JGqzKmp_5Bg?si=hWy2rTthSAJ6ClQZ,Bossa Nova,Luxury,ETC.
Agua de Beber,Astrud Gilberto,-,2:21,https://www.youtube.com/embed/qZx-Z3_n4t8?si=awZMt-nZ4BfB64YN,Bossa Nova,Luxury,ETC.
So Nice (Summer Samba),Marcos Valle,-,2:32,https://www.youtube.com/embed/-sM-BxtS5jQ?si=RSwjkimbXbHpmF-r,Bossa Nova,Luxury,ETC.
Meditation,Antônio Carlos Jobim,-,3:19,https://www.youtube.com/embed/HGLUgbxlsYA?si=q877KUMcLqNNwoG-,Bossa Nova,Luxury,ETC.
One Note Samba,Sérgio Mendes,-,1:46,https://www.youtube.com/embed/UmO8PbwZrXA?si=KBw7ypYKkoI-wDbA,Bossa Nova,Luxury,ETC.
Dindi,Astrud Gilberto,-,2:47,https://www.youtube.com/embed/Ix27PsFefLw?si=IbssF0vDYf8M8ZTm,Bossa Nova,Luxury,ETC.
How Insensitive,Antônio Carlos Jobim,-,3:55,https://www.youtube.com/embed/5ppmTFXA30s?si=1V5JvEstSAMl1O9P,Bossa Nova,Luxury,ETC.
หนังสือรุ่น,ป้าง นครินทร์,-,4:22,https://www.youtube.com/embed/0s7LsfTsbU0?si=gtcE4r17gumPSxe4,Rock,Graduation party,Thai
โชคดีนะเพื่อน,-,ไมโคร,4:23,https://www.youtube.com/embed/uAXyHBcmEhw?si=WPkDWAyNXJXWrDGx,Rock,Graduation party,Thai
Take Care นะ,-,G-JR,3:57,https://www.youtube.com/embed/DhMe0j3ZaVA?si=M9Wrq1ZYnSRIiLuw,Pop,Graduation party,Thai
ด้วยความปรารถนาดี,เอ๊ะ จิรากร,-,4:23,https://www.youtube.com/embed/Mf8c_bg7pwo?si=U-whtE9rlHObG8Ft,Pop,Graduation party,Thai
จะได้ไม่ลืมกัน,เบิร์ด ธงไชย,-,3:55,https://www.youtube.com/embed/MWOdgjfB4ak?si=Pu7nMx3-s5WxBHvu,Pop,Graduation party,Thai
ฉันจะจำเธอแบบนี้,โบ สุนิตา,-,4:55,https://www.youtube.com/embed/NPajX54XjBQ?si=UCrld6heQYe4MOi4,Pop,Graduation party,Thai
รักเธอทุกวินาที,-,All Kamikaze,5:59,https://www.youtube.com/embed/JGEGUQ5hOtY?si=R5Wyh7gnfiRxUWWo,Pop,Graduation party,Thai
เล่าสู่กันฟัง,เบิร์ด ธงไชย,-,4:22,https://www.youtube.com/embed/9SM2hywQIVo?si=aX1vwaNJh4iyXkwT,Pop,Graduation party,Thai
จากตรงนี้ที่(เคย)สวยงาม,-,AYLA's,5:13,https://www.youtube.com/embed/nBBIuLUYa_w?si=uXEVRsqMseVdjmxA,Pop,Graduation party,Thai
ลาก่อน,Yourmood,-,3:10,https://www.youtube.com/embed/TRrVrSznG7Y?si=5fcF8lzx1zYOlx8v,Pop,Graduation party,Thai
ขอบคุณที่รักกัน,-,Potato,3:53,https://www.youtube.com/embed/TXsg-BDfnl4?si=iYXXd85P3jsei002,Pop,Graduation party,Thai
เรายังรักกัน,-,LOSO,4:14,https://www.youtube.com/embed/s0PEtMHLYd8?si=avw9heOFpQ06y1N8,Rock,Graduation party,Thai
เพื่อนสนิท,-,Endorphine,3:57,https://www.youtube.com/embed/fOMWjbuxsho?si=u92BRW4CnWZOqr5A,Pop,Graduation party,Thai
เพื่อนชีวิต,เขียว คาราบาว,-,5:09,https://www.youtube.com/embed/PRhzk1I0QOQ?si=oNKSfjTEGc9C7aP9,Rock,Graduation party,Thai
เพื่อนกันตลอดไป,โจ สูงเนิน,-,4:01,https://www.youtube.com/embed/MypQ-T0WXxA?si=ziSnmLIbkHFoIk25,Pop,Graduation party,Thai
Time to Say Goodbye,Andrea Bocelli & Sarah Brightman,-,4:07,https://www.youtube.com/embed/M3mdHmhI3cs?si=uC3BrVv8PpTRc8_j,Classical,Graduation party,Thai
Goodbye My Friend,Linda Ronstadt,-,3:45,https://www.youtube.com/embed/xHqlMjWhlic?si=IbVF-3qTsLgbAj46,Rock,Graduation party,English
Leaving on a Jet Plane,John Denver,-,3:41,https://www.youtube.com/embed/SneCkM0bJq0?si=0OOc9KqJSCDk2_35,Folk,Graduation party,English
I Will Remember You,Sarah McLachlan,-,3:40,https://www.youtube.com/embed/nSz16ngdsG0?si=XL_-zHeGgr3ICLeW,Pop,Graduation party,English
One More Day,-,Diamond Rio,3:35,https://www.youtube.com/embed/Xi8O7JdA4Sg?si=dKQlvIhxPonMiyup,Country,Graduation party,English
"So Long, Farewell",-,The Sound of Music Cast,2:56,https://www.youtube.com/embed/7pIMIF12hRA?si=S53uxrAKkSLPFFxN,Classical,Graduation party,English
Adieu,Soledad,-,3:57,https://www.youtube.com/embed/Gop3c55IaTA?si=w1xNf8tBwE95Jl76,Pop,Graduation party,French
Mi Historia Entre Tus Dedos,Gianluca Grignani,-,5:07,https://www.youtube.com/embed/aHFAXW840uM?si=jHVlYgxJSWu64JB5,Pop,Graduation party,Spanish
Adios A Media Voz,Julio Iglesias,-,3:34,https://www.youtube.com/embed/DXXIkZN_xcM?si=6C-Sss8G_iKHfr6C,Pop,Graduation party,Spanish
Tears in Heaven,Eric Clapton,-,4:32,https://www.youtube.com/embed/VVqXLXMch9g?si=KU69BhAV57t9vTdr,Rock,Graduation party,English
My Way,Frank Sinatra,-,4:37,https://www.youtube.com/embed/qQzdAsjWGPg?si=nilqfqP9j8f09Zlg,Jazz,Graduation party,English
The Time of My Life,Bill Medley & Jennifer Warnes,-,4:45,https://www.youtube.com/embed/4BQLE_RrTSU?si=ophQm6otyZGF7uhh,Rock,Graduation party,English
Don’t Stop Believin,-,Journey,4:11,https://www.youtube.com/embed/1k8craCGpgs?si=lkb7uAg97S3OySgO,Rock,Graduation party,English
I Will Always Love You,Whitney Houston,-,4:34,https://www.youtube.com/embed/3JWTaaS7LdU?si=JTQGinlSR6olDY7j,Soul,Graduation party,English
Somewhere Over the Rainbow,Israel Kamakawiwo'ole,-,3:48,https://www.youtube.com/embed/V1bFr2SWP1I?si=ECyub00X27ADdOs_,Pop,Graduation party,English
Auf Wiedersehen,-,Seeed,3:51,https://www.youtube.com/embed/CipYQ8iedSY?si=q-hHjA86LweDBbj4,Disco,Graduation party,German
Zwei in einem Boot,-,Ich & Ich,5:22,https://www.youtube.com/embed/GASdZwevjMM?si=Lxp_z8SmH6-BftCP,Pop,Graduation party,German
Viva La Vida,-,Coldplay,4:03,https://www.youtube.com/embed/dvgZkm1xWPE?si=FnDr4K4YeqKGYd3R,Rock,Graduation party,English
Goodbye,-,Spice Girls,4:34,https://www.youtube.com/embed/eegDtyrSUZw?si=1_cOriFAUJGpbFcy,Pop,Graduation party,English
El Reloj,Luis Miguel,-,3:02,https://www.youtube.com/embed/5-wpEXdshho?si=hQVYAlVO9EpTMu9y,Bolero,Graduation party,Spanish
Endless Love,Diana Ross & Lionel Richie,-,4:26,https://www.youtube.com/embed/UsqDoz2Co4o?si=lEbnhZoN-aPzA4Cf,R&B,Graduation party,English
The Best Is Yet to Come,Frank Sinatra,-,2:56,https://www.youtube.com/embed/mQIZ-Esbg_c?si=aCTVNa9Eg9ICTqRm,Jazz,Graduation party,English
The Final Countdown,-,Europe,4:57,https://www.youtube.com/embed/9jK-NcRmVcw?si=GIqTW6cZ3XwpWwSg,Rock,Graduation party,English
I Don’t Want to Miss a Thing,-,Aerosmith,4:53,https://www.youtube.com/embed/JkK8g6FMEXE?si=3gwPRrI7YXsHzu4K,Rock,Graduation party,English
We'll Meet Again,Vera Lynn,-,3:01,https://www.youtube.com/embed/2a7_yCxMgZc?si=Ikcp6VAh8wgv8vfp,Pop,Graduation party,English
Hernando’s Hideaway,Archie Bleyer,-,2:34,https://www.youtube.com/embed/76Ozl2xZDpU?si=GXlKlD4d1ZNGsxZ8,Pop,Graduation party,English
Goodbye Stranger,-,Supertramp,5:49,https://www.youtube.com/embed/pJPMesAnsU8?si=Rb62H4y7_IhNiX6a,Rock,Graduation party,English
Time Is On My Side,-,The Rolling Stones,3:02,https://www.youtube.com/embed/jOxHsuV83KA?si=FtDsKiHYz7nThrQ4,Rock,Graduation party,English
I’ve Had The Time of My Life,Bill Medley & Jennifer Warnes,-,4:45,https://www.youtube.com/embed/4BQLE_RrTSU?si=-HS-nvMEl3lJe_uQ,Rock,Graduation party,English
Goodbye to You,Michelle Branch,-,4:12,https://www.youtube.com/embed/KN0wf4PPn-Q?si=epQ_T8NuVR9yLf6K,Rock,Graduation party,English
Never Can Say Goodbye,Gloria Gaynor,-,3:37,https://www.youtube.com/embed/vQn4fFd8p-8?si=LCTJAehv7EGhnRht,Disco,Graduation party,English
Say Something,-,A Great Big World ft. Christina Aguilera,3:52,https://www.youtube.com/embed/-2U0Ivkn2Ds?si=DGrH20NcO-UTIpGg,Pop,Graduation party,English
Santa Tell Me,Ariana Grande,-,5:40,https://www.youtube.com/embed/nlR0MkrRklg?si=cvSVS6PgVr84ihLG,Pop,Christmas party,English
Do They Know It's Christmas?,-,Band Aid,4:50,https://www.youtube.com/embed/-w7jyVHocTk?si=-A3t4ucJ0LFSHPFe,Pop,Christmas party,English
Happy Xmas (War Is Over),John Lennon & Yoko Ono,-,3:36,https://www.youtube.com/embed/flA5ndOyZbI?si=BVFQnElBuJXCtxHK,Pop,Christmas party,English
Wonderful Christmastime,Paul McCartney,-,3:47,https://www.youtube.com/embed/94Ye-3C1FC8?si=9p8rSLQB1y1lMTD4,Pop,Christmas party,English
Mistletoe,Justin Bieber,-,3:04,https://www.youtube.com/embed/LUjn3RpkcKY?si=JY0JyFiGOqMZ4D6l,Pop,Christmas party,English
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,-,1:57,https://www.youtube.com/embed/2TA3IKH8Y5c?si=vayUWgwpLmDHgP-T,Jazz,Christmas party,English
Holly Jolly Christmas,Burl Ives,-,2:19,https://www.youtube.com/embed/2uZnbzTG1jY?si=Fl-YK_mc2dEKMv9E,Country,Christmas party,English
Carol of the Bells,-,Pentatonix,4:11,https://www.youtube.com/embed/WSUFzC6_fp8?si=xaXi3vjco_plRpr3,Opera,Christmas party,English
Silver Bells,Bing Crosby & Carol Richards,-,3:03,https://www.youtube.com/embed/bBFHUyVAch4?si=KFrm-H2WOUP0Akbq,Pop,Christmas party,English
Christmas (Baby Please Come Home),Darlene Love,-,2:45,https://www.youtube.com/embed/4EvZOXEoJ84?si=x3ez9jgZxVmLweJH,Pop,Christmas party,English
Underneath the Tree,Kelly Clarkson,-,3:51,https://www.youtube.com/embed/YfF10ow4YEo?si=Wl0BCRn1Ibm2zsar,Pop,Christmas party,English
The Christmas Song (Chestnuts Roasting on an Open Fire),Nat King Cole,-,3:31,https://www.youtube.com/embed/F1itSKJLWQY?si=EmfRiipPQarT96Bt,Jazz,Christmas party,English
White Christmas,Michael Bublé,-,3:39,https://www.youtube.com/embed/30TkClWvT5k?si=fLjyMhEzWle9dKU9,Jazz,Christmas party,English
O Holy Night,Celine Dion,-,5:24,https://www.youtube.com/embed/RsWUWzai8P8?si=RC8Q7JjXBLMhehOq,Pop,Christmas party,English
Petit Papa Noël,Tino Rossi,-,3:12,https://www.youtube.com/embed/NPwUJDtvxJA?si=4TFUNHz7mzb_9pfQ,Chanson,Christmas party,French
"Stille Nacht, heilige Nacht (Silent Night",Bing Crosby,-,2:37,https://www.youtube.com/embed/9p97sxREC00?si=e2UViK0G9_UBGp4F,Carol,Christmas party,German
Tu scendi dalle stelle,Luciano Pavarotti,-,3:01,https://www.youtube.com/embed/KNf8cin_kYo?si=WpfFh_mIpBnT41CE,Carol,Christmas party,ETC.
O Tannenbaum,Nat King Cole,-,3:00,https://www.youtube.com/embed/9l_3ZOS9P34?si=kASirg-h9WaWwcra,Carol,Christmas party,German
Noche de Paz (Silent Night),Andrea Bocelli,-,4:35,https://www.youtube.com/embed/HR1wvwm9mLE?si=ismx6L45cCo_nBIo,Carol,Christmas party,Spanish
Joulupuu on rakennettu,Suvi Teräsniska,-,1:39,https://www.youtube.com/embed/KIP77CdXmBE?si=nrGw6dne35sxFdDB,Carol,Christmas party,ETC.
"Glade Jul, dejlige Jul (Silent Night)",Oslo Gospel Choir,-,5:43,https://www.youtube.com/embed/Eyrtzt-JZoI?si=C3gu9Zf-XIH1LSj3,Carol,Christmas party,ETC.
Hacia Belén va una burra,Plácido Domingo,-,1:33,https://www.youtube.com/embed/pPmqcezOY5g?si=B6TWcIBDye_6eJU2,Carol,Christmas party,Spanish
Les Anges dans nos campagnes (Angels We Have Heard on High),-,Christendom College Choir & Schola Gregoriana,2:30,https://www.youtube.com/embed/WHWqj6gKS9g?si=OXV8v3ttnN5SmOat,Carol,Christmas party,French
Cicha noc (Silent Night),-,GOLEC uORKIESTRA,4:26,https://www.youtube.com/embed/UAsg2SSR8Lc?si=GOr-FTBczEsdmJFM,Carol,Christmas party,ETC.
Campana sobre campana,Rafael,-,1:06,https://www.youtube.com/embed/VnLd1R-GKEY?si=vePncJFSKn05H6nX,Carol,Christmas party,Spanish
"Jul, jul, strålande jul",Sissel Kyrkjebø,-,4:04,https://www.youtube.com/embed/3RyTCGCTxoA?si=oxFc5UUUQHmTY4mO,Carol,Christmas party,ETC.
Astro del Ciel (Silent Night),Andrea Bocelli,-,4:33,https://www.youtube.com/embed/JIjMwWp0gEw?si=17vdUV3aCcXO8MWp,Carol,Christmas party,ETC.
"Douce nuit, sainte nuit (Silent Night)",Céline Dion,-,3:01,https://www.youtube.com/embed/aBB3cPR9opc?si=U0GPpVDnyMfl2tYY,Carol,Christmas party,French
Merry Christmas Mr. Lawrence,Ryuichi Sakamoto,-,4:49,https://www.youtube.com/embed/1OZDaRhHHyM?si=h1T8uAHJxATexiTp,Carol,Christmas party,Instrumental
Deck the Halls,Nat King Cole,-,1:09,https://www.youtube.com/embed/kORRidv-p0Y?si=anud-1ZHJzbA3cJK,Carol,Christmas party,English
O du fröhliche,Helene Fischer,-,3:34,https://www.youtube.com/embed/-gBtW4GhF3Y?si=97DsCbXByX3CJLKG,Carol,Christmas party,German
Vive le vent,Dalida,-,2:32,https://www.youtube.com/embed/J8k3Onc2v_8?si=z-lpxgI9KUfdhaUo,Carol,Christmas party,French
Dobryi vechir tobi,Ruslana,-,3:23,https://www.youtube.com/embed/ZWzQ67FQeEQ?si=jXi1L12H5_G4S688,Carol,Christmas party,ETC.
S'Agapo,Eleni Foureira,-,3:01,https://www.youtube.com/embed/VjMQCnZMBQY?si=0WT0YO3tp2CIfAr5,Pop,Christmas party,ETC.
Tänd ett ljus,-,Triad,4:12,https://www.youtube.com/embed/w-Fw484lBeA?si=jWCdRNWqGnz3cQ-2,Pop,Christmas party,ETC.
Holz,-,257ers,3:34,https://www.youtube.com/embed/wjXUBG15eZ8?si=_o5zKim9C1bUU-tK,Hip-Hop,Christmas party,German
Na božično noč,-,Pop Design,4:08,https://www.youtube.com/embed/W0jC2byyCPQ?si=3j-2c0q_Sj6xAuce,Pop,Christmas party,ETC.
Jul Det' Cool,MC Einar,-,5:20,https://www.youtube.com/embed/FuyKWtF5aqU?si=RsKmHPJdpSLJmQyP,Hip-Hop,Christmas party,ETC.
Buon Natale,Raffaella Carrà,-,3:38,https://www.youtube.com/embed/WvWV7lyQ0Z4?si=gV1LA51YjGAqt7G8,Pop,Christmas party,ETC.
Christmas Eve,Tatsuro Yamashita,-,6:08,https://www.youtube.com/embed/PRwDWbyULuU?si=SAAUlrwglGxqpY59,Pop,Christmas party,Japanese
"Fum, Fum, Fum",-,The Tabernacle Choir,1:38,https://www.youtube.com/embed/g1KcdE_kaek?si=eCg_e2dz-ORQDWpZ,Carol,Christmas party,ETC.
Curoo Curoo (The Carol of the Birds),-,Celtic Woman,2:51,https://www.youtube.com/embed/GsFUyq3R004?si=yVCwaNOPOWjiJbKo,Carol,Christmas party,ETC.
Rudolph the Red-Nosed Reindeer,Gene Autry,-,3:09,https://www.youtube.com/embed/44bL90HP0Ys?si=37uFm2a57ZpdxTiO,Carol,Christmas party,English
ทุกวันคือวันคริสต์มาส,Poppy Panadda,-,4:04,https://www.youtube.com/embed/9JOFF1afQx8?si=a7mCXdc1GUqGhj3R,Pop,Christmas party,Thai
Gong Xi Gong Xi (恭喜恭喜),Traditional,-,2:59,https://www.youtube.com/embed/INKsLDB4-EQ?si=AKzY_GusOWMT8tqR,Traditional,Chinese New Year,Chinese
Xin Nian Hao (新年好),Traditional,-,1:49,https://www.youtube.com/embed/hehIsy2a8zA?si=MfsYEeVFYY231Ynd,Traditional,Chinese New Year,Chinese
Cai Shen Dao (财神到),Sam Hui,-,3:20,https://www.youtube.com/embed/V3ZrlIlUAa4?si=Q2E1ax2csiI7mUM4,Pop,Chinese New Year,Chinese
Kung Hei Fat Choy (恭喜发财),Andy Lau,-,3:29,https://www.youtube.com/embed/MZLBxuvd7UU?si=F2belYar6eSGDbzn,Pop,Chinese New Year,Chinese
Xin Nian Kuai Le (新年快乐),Jacky Cheung,-,3:36,https://www.youtube.com/embed/Fmd0O4kMLdA?si=nLJJ2fUQwtdmBCFL,Pop,Chinese New Year,Chinese
Cai Yuan Gun Gun (财源滚滚),Wakin Chau,-,2:54,https://www.youtube.com/embed/PEg9vAOArTQ?si=jRTKFOmqodyw4lzY,Pop,Chinese New Year,Chinese
Gong Xi Fa Cai (恭喜发财),Jay Chou,-,3:26,https://www.youtube.com/embed/b4SRZurGg1c?si=T01qi_vgLwtqkafV,Pop,Chinese New Year,Chinese
Da Tuan Yuan (大团圆),-,Astro,4:00,https://www.youtube.com/embed/pJm7CyWWgfg?si=qN2-9O-3uxQWu7Eq,Pop,Chinese New Year,Chinese
Xi Qi Yang Yang (喜气洋洋),A-Mei,-,3:09,https://www.youtube.com/embed/BAWomIWlTlg?si=P5BJc_cXEFLUzlux,Pop,Chinese New Year,Chinese
Heng Ah (好运来),Lin Yu Zhong,-,4:56,https://www.youtube.com/embed/xifnA8xflxU?si=hKahrZmJK94bKiY6,Pop,Chinese New Year,Chinese
Lucky Star,Faye Wong,-,4:15,https://www.youtube.com/embed/DptpflDKMS0?si=ee7maBsuFATiexbx,Pop,Chinese New Year,Chinese
Cúnzài (存在),Wang Feng,-,5:05,https://www.youtube.com/embed/MrHZTfwiK0o?si=IPdrpBLPdGwl0ZOG,Rock,Chinese New Year,Chinese
Chūntiān Lǐ (春天里),Wang Feng,-,4:44,https://www.youtube.com/embed/ZZO7LqbpJFE?si=Tu6IIGjO5tRYLgyU,Rock,Chinese New Year,Chinese
Běijīng Běijīng (北京北京),Wang Feng,-,5:59,https://www.youtube.com/embed/tFrlQqjwYvk?si=8nWLOE64i12jYhcR,Rock,Chinese New Year,Chinese
Huāfáng Gūniang (花房姑娘),Cui Jian,-,4:55,https://www.youtube.com/embed/u7-jezIeduU?si=uocEIgyXkXrxzXau,Rock,Chinese New Year,Chinese
Yī Wú Suǒ Yǒu (一无所有),Cui Jian,-,5:44,https://www.youtube.com/embed/j_0FWz44B3c?si=C5e3AXcEH4ChTyXl,Rock,Chinese New Year,Chinese
Jiǎ Xíngsēng (假行僧),Cui Jian,-,5:01,https://www.youtube.com/embed/H7rTo0SzuZA?si=2WKZqc-3tLVtv6Uj,Rock,Chinese New Year,Chinese
Lán Liánhuā (蓝莲花),Xu Wei,-,4:32,https://www.youtube.com/embed/fcKnxcjWj60?si=11p5ije_YBH-V5F-,Rock,Chinese New Year,Chinese
Céngjīng de Nǐ (曾经的你),Xu Wei,-,4:22,https://www.youtube.com/embed/AhZ-l6AXWcg?si=wc9k8R2zyIxAf2GE,Rock,Chinese New Year,Chinese
Píngfán zhī Lù (平凡之路),Pǔ Shù,-,5:03,https://www.youtube.com/embed/NjTT5_RSkw4?si=Yud136cIdTo4XT4a,Pop,Chinese New Year,Chinese
Tian Mi Mi (甜蜜蜜),Teresa Teng,-,3:30,https://www.youtube.com/embed/OMVlGjmppeY?si=vCJHF-g79Wd7VQyh,Pop,Chinese New Year,Chinese
Yue Liang Dai Biao Wo De Xin (月亮代表我的心),Teresa Teng,-,3:27,https://www.youtube.com/embed/1mKR0Hml-9s?si=nbN5XyzOpWXMNngR,Pop,Chinese New Year,Chinese
Shanghai Tan (上海滩),Frances Yip,-,3:14,https://www.youtube.com/embed/0TMQGP_XQlA?si=uGCjaZrFwvrAZb_3,Folk,Chinese New Year,Chinese
Hai Kuo Tian Kong (海阔天空),-,Beyond,5:18,https://www.youtube.com/embed/qu_FSptjRic?si=vPQ6fkbibdyTVHpB,Rock,Chinese New Year,Chinese
Guang Hui Sui Yue (光辉岁月),-,Beyond,4:58,https://www.youtube.com/embed/5hzl3uWOKWU?si=-K6B0q17B2lbpnrx,Rock,Chinese New Year,Chinese
Xiao Fang (小芳),Li Chunbo,-,4:15,https://www.youtube.com/embed/m7PAyvj29Dk?si=eeL_EyKDMOiNBSzL,Folk,Chinese New Year,Chinese
Peng You (朋友),Wakin Chau,-,4:39,https://www.youtube.com/embed/6lbPgfKK7m4?si=cap1TvW6C1H-81y6,Pop,Chinese New Year,Chinese
Yi Jian Mei (一剪梅),Fei Yu-Ching,-,3:54,https://www.youtube.com/embed/AjitR7RZEQU?si=TH-husUry0NXtIKk,Folk,Chinese New Year,Chinese
Tong Hua (童话),Michael Wong ,-,4:06,https://www.youtube.com/embed/IBTmypxD2mU?si=_ZxaghrfknIbmmej,Pop,Chinese New Year,Chinese
Shui Shou (水手),Zheng Zhihua,-,4:53,https://www.youtube.com/embed/P1JUS4emI2s?si=728RG0ky6kVcDzpP,Folk,Chinese New Year,Chinese
Gū Yǒng Zhě (孤勇者),Eason Chan,-,4:33,https://www.youtube.com/embed/Hlp8XD0R5qo?si=CqlUrzx9w09zCSYH,Pop,Chinese New Year,Chinese
Xiao Cheng Gu Shi (小城故事),Teresa Teng,-,2:37,https://www.youtube.com/embed/n-jHlCu0k2I?si=m6uwqKKdZNVXcQFa,Folk,Chinese New Year,Chinese
Mojito,Jay Chou,-,3:09,https://www.youtube.com/embed/-biOGdYiF-I?si=wPwrShpHqn22DHRj,Pop,Chinese New Year,Chinese
Bu Neng Shuo De Mi Mi (不能说的秘密),Jay Chou,-,5:36,https://www.youtube.com/embed/uIWypArI73w?si=r5rpGVQ23Xd-wniX,Pop,Chinese New Year,Chinese
Xiao Xing Yun (小幸运),Hebe Tien,-,4:26,https://www.youtube.com/embed/YD9r_tTtlaA?si=BHn1ZkRph2P0OJap,Pop,Chinese New Year,Chinese
Xue Rong Hua (雪绒花),Mao Buyi,-,2:31,https://www.youtube.com/embed/bp7mtRYkHPk?si=QwMHBUCpHanyi7K3,Folk,Chinese New Year,Chinese
Xiao Chou (小丑),Mao Buyi,-,3:20,https://www.youtube.com/embed/OeZ_OdTEMR4?si=sEP74Fe2eB6hIaqt,Folk,Chinese New Year,Chinese
Bu Jiang Jiu (不将就),Li Ronghao,-,5:09,https://www.youtube.com/embed/TuiL681_ifo?si=3eoniZaMEq9_fuQa,Pop,Chinese New Year,Chinese
Ni Hao Bu Hao (你好不好),Eric Chou,-,4:42,https://www.youtube.com/embed/ZxEiomEUj14?si=Loq23_6s5eI_mTIM,Pop,Chinese New Year,Chinese
Yong Yuan De Yuan Ding (永远的原点),Wang Leehom,-,4:55,https://www.youtube.com/embed/W3g0H5FsVY0?si=Zfg36qdKNt8IS89C,Pop,Chinese New Year,Chinese
