ชื่อเพลง,ชื่อนักร้อง,ชื่อวง,นาที,ลิ้ง url,ประเภทเพลง,ธีมงาน,ภาษา
แค่เธอ,Jeff Satur,-,3:48,https://www.youtube.com/embed/aVKJrJbHUV0?si=eQL6gjveMwJA1RWN,"Pop,R&B",Wedding,Thai
Sunday Morning,Maroon 5,-,4:24,https://www.youtube.com/embed/S2Cti12XBw4?si=vxyCfNXfyMqEbL1L,"Pop,R&B",Wedding,English
Someone Like You,Austin Mahone,-,5:06,https://www.youtube.com/embed/oRongTNdrLc?si=rH0qpXOIIvFu5mmz,"Pop,Romantic",Wedding,English
Beautiful In White,Shane Filan,-,3:55,https://www.youtube.com/embed/06-XXOTP3Gc?si=K-G6YYZAdw3FvSqM,"Pop,Romantic",Wedding,English
Fly Me To The Moon,Joseph Vincent,-,1:59,https://www.youtube.com/embed/GYrl0wQjGH0?si=fU3kfpsZVV8OS4zZ,"Jazz,Retro","Wedding,Night party,Luxury",English
How Long Will I Love You,Elllie Goulding,-,2:37,https://www.youtube.com/embed/an4ySOlsUMY?si=Gn4IpbQDTRiAOrNw,"Pop,Romantic",Wedding,English
Here's YOur Perfect,Jamie Miller,-,2:49,https://www.youtube.com/embed/cRi-x2r88no?si=dlApmORGpsoRVKGK,"Pop,R&B",Wedding,English
"24/7 , 365",elijah woods,-,2:48,https://www.youtube.com/embed/-h_yBTriuaY?si=HT8xW36pOM6VcMZZ,"Indie,Pop",Wedding,English
รัักนานๆ,โดมจารุวัฒน์ Feat พัด Vorapat,-,3:35,https://www.youtube.com/embed/EiafYKXJdWA?si=pRyOdSlzWOjSFX4N,Retro,Wedding,English
I Love You 3000,Stephanie Poetri,-,3:29,https://www.youtube.com/embed/cPkE0IbDVs4?si=mP7F1tRehj8EqHs2,"Indie,Pop",Wedding,English
Lost Jigsaw,guncharlie,-,3:39,https://www.youtube.com/embed/D-a867A59dM?si=zMOgj3OB5znIU0XK,"Indie,Alternative",Wedding,Thai
เพลงรักเพลงแรก,-,LANDOKMAI,4:21,https://www.youtube.com/embed/N9bashij_7c?si=4--gTRZkeqmoGZMj,"Indie,Pop",Wedding,Thai
Proud,-,fellow fellow,3:50,https://www.youtube.com/embed/9uZF7BlUQPE?si=PgIFO9Rsj0j4Kp8U,"Indie,Pop",Wedding,Thai
What a wonderful world,Lady K & The Gents,-,4:32,https://www.youtube.com/embed/B-rEuFC6Ozs?si=UsHQ1rEcxRMPSpxJ,Classical,Night party,English
Clair de Lune,Claude Debussy,-,5:13,https://www.youtube.com/embed/WNcsUNKlAKw?si=Ijk5tAD7iMTeFKIc,Classical,Night party,English
Canon in D,Johann Pachelbel,-,6:16,https://www.youtube.com/embed/NlprozGcs80?si=sQtoPSyt1vQBZF0X,Classical,Night party,English
The Four Seasons - Spring,Antonio Vivaldi,-,3:16,https://www.youtube.com/embed/e3nSvIiBNFo?si=ewWPCHeqJkLionSJ,Classical,Night party,English
Air on the G String,Johann Sebastian Bach,-,5:23,https://www.youtube.com/embed/GMkmQlfOJDk?si=xAN94WgaVkEQXv43,Classical,Night party,English
Pavane,Gabriel Fauré,-,7:04,https://www.youtube.com/embed/mpgyTl8yqbw?si=1EDzZiJ9j1o70Y-S,Classical,Night party,English
All Blues,Miles Davis,-,11:33,https://www.youtube.com/embed/-488UORrfJ0?si=yMxg6QgIVN_cnSNP,Classical,Night party,English
